1,7/26/2005,11:00:00,14:00:00,118,124
2,7/29/2005,8:00:00,11:00:00,256,262
3,8/2/2005,15:30:00,16:30:00,463,465
4,8/4/2005,16:30:00,17:30:00,561,563
5,8/5/2005,8:00:00,11:00:00,592,598
6,8/9/2005,11:00:00,14:00:00,790,796
7,8/9/2005,8:00:00,16:00:00,784,800
8,8/10/2005,8:00:00,16:00:00,832,848
9,8/12/2005,8:00:00,11:00:00,928,934
10,8/16/2005,11:00:00,14:00:00,1126,1132
11,8/18/2005,8:00:00,17:00:00,1216,1234
12,8/18/2005,18:00:00,20:30:00,1236,1241
13,8/19/2005,8:00:00,11:00:00,1264,1270
14,8/23/2005,11:00:00,14:00:00,1462,1468
15,8/26/2005,8:00:00,11:00:00,1600,1606
16,8/30/2005,16:00:00,18:00:00,1808,1812
17,9/1/2005,14:00:00,16:30:00,1900,1905
18,9/15/2005,8:30:00,10:00:00,2561,2564
19,9/21/2005,9:00:00,14:00:00,2850,2860
20,9/22/2005,14:00:00,14:30:00,2908,2909
21,10/3/2005,15:30:00,17:00:00,3439,3442
22,10/4/2005,12:00:00,15:00:00,3480,3486
23,10/7/2005,9:00:00,10:30:00,3618,3621
24,10/10/2005,16:30:00,19:00:00,3777,3782
25,10/14/2005,9:00:00,10:30:00,3954,3957
26,10/19/2005,22:00:00,23:30:00,4220,4223
27,10/21/2005,9:00:00,10:30:00,4290,4293
28,10/23/2005,21:00:00,22:30:00,4410,4413
29,10/24/2005,8:00:00,12:00:00,4432,4440
30,10/24/2005,16:00:00,21:00:00,4448,4458
